Date,Open,High,Low,Close,Volume
2021-04-12,58.5,59.0,52.25,54.75,37492
2021-04-19,54.0,55.75,49.25,54.75,38012
2021-04-26,55.0,56.75,51.5,55.0,21380
2021-05-03,56.25,61.25,53.0,54.25,32508
2021-05-10,53.5,59.5,47.75,58.75,26668
2021-05-17,58.75,64.0,55.75,63.0,22712
2021-05-24,62.5,68.5,58.75,61.75,28804
2021-05-31,61.25,70.75,61.25,66.5,77360
2021-06-07,65.75,73.25,65.0,67.5,43648
2021-06-14,68.5,73.25,66.25,73.0,23716
2021-06-21,73.75,94.5,60.0,62.0,1676388
2021-06-28,59.0,77.5,56.75,73.5,479752
2021-07-05,73.25,74.75,65.25,69.5,85724
2021-07-12,69.5,85.0,60.75,63.25,436344
2021-07-19,62.75,65.75,58.75,59.75,69148
2021-07-26,60.75,62.25,56.75,61.0,26084
2021-08-02,60.5,68.75,57.25,68.75,73824
2021-08-09,69.0,84.5,66.5,82.0,137968
2021-08-16,82.75,87.5,75.0,83.5,144320
2021-08-23,85.0,113.25,82.25,105.0,202132
2021-08-30,105.5,109.75,97.25,108.75,85260
2021-09-06,108.5,119.5,99.25,103.5,75184
2021-09-13,103.75,110.75,97.75,104.75,56348
2021-09-20,101.75,127.0,100.5,115.75,112716
2021-09-27,114.25,125.0,94.25,104.25,98616
2021-10-04,104.5,105.5,91.25,92.5,46852
2021-10-11,91.75,107.0,89.0,97.0,36796
2021-10-18,95.25,116.25,86.75,87.0,85596
2021-10-25,87.5,95.5,79.5,80.25,51208
2021-11-01,81.75,83.75,73.5,75.0,61608
2021-11-08,76.75,87.5,74.25,82.25,58596
2021-11-15,81.75,88.0,75.0,75.5,39532
2021-11-22,75.0,78.5,66.75,71.25,35712
2021-11-29,71.0,73.75,61.75,66.75,92248
2021-12-06,67.5,74.0,63.25,68.75,16060
2021-12-13,68.75,69.0,60.0,65.75,21504
2021-12-20,66.25,76.25,64.25,69.5,28352
2021-12-27,68.75,71.25,60.5,67.5,23116
2022-01-03,65.5,71.25,60.0,64.75,26220
2022-01-10,64.5,70.0,62.5,65.5,24644
2022-01-17,65.5,65.75,56.0,58.5,21464
2022-01-24,56.5,59.75,51.75,53.75,26528
2022-01-31,53.75,60.0,51.25,60.0,18020
2022-02-07,59.75,65.5,53.5,54.25,34060
2022-02-14,55.75,58.25,50.0,51.25,21404
2022-02-21,52.0,55.5,49.0,52.0,10848
2022-02-28,52.5,54.0,44.25,47.0,29244
2022-03-07,46.25,49.25,44.25,46.75,21460
2022-03-14,47.75,50.5,44.75,47.0,11008
2022-03-21,47.5,54.0,47.5,51.0,11452
2022-03-28,50.5,55.0,47.5,50.75,19208
2022-04-04,51.25,56.75,39.25,40.5,43844
2022-04-11,41.0,47.0,39.75,43.75,23776
2022-04-18,43.75,46.0,40.75,41.0,17812
2022-04-25,40.0,41.5,34.0,35.25,26308
2022-05-02,35.25,37.75,32.25,33.25,23292
2022-05-09,33.25,35.0,28.5,32.0,24320
2022-05-16,33.0,38.75,30.5,34.0,17584
2022-05-23,34.0,36.5,28.25,31.75,34936
2022-05-30,31.75,36.75,30.5,33.5,19624
2022-06-06,34.5,39.75,30.75,34.25,89828
2022-06-13,33.5,35.25,29.5,32.5,56864
2022-06-20,33.75,34.5,29.25,29.75,38520
2022-06-27,32.5,33.5,26.0,30.0,113828
2022-07-04,30.75,32.75,30.0,31.75,39668
2022-07-11,32.25,48.0,30.0,40.75,262176
2022-07-18,43.5,52.0,17.75,18.5,810564
2022-07-25,19.0,19.5,13.75,16.25,170860
2022-08-01,16.25,16.5,11.25,15.0,117012
2022-08-08,15.5,16.25,13.75,14.5,54704
2022-08-15,15.0,15.25,13.75,14.75,64380
2022-08-22,15.0,15.0,13.5,14.5,35592
2022-08-29,14.5,15.0,10.75,12.75,41724
2022-09-05,13.75,14.75,11.25,13.0,91092
2022-09-12,12.5,13.25,11.25,11.25,29260
2022-09-19,11.25,12.0,9.0,9.5,40044
2022-09-26,9.25,10.5,8.5,8.75,17432
2022-10-03,8.75,10.25,8.5,8.75,17408
2022-10-10,8.75,9.25,7.5,8.25,12224
2022-10-17,8.0,8.5,7.0,7.25,19652
2022-10-24,7.0,7.75,6.75,7.75,20324
2022-10-31,8.0,8.0,7.25,7.75,9672
2022-11-07,7.5,7.75,6.0,7.0,29068
2022-11-14,7.0,7.5,6.5,7.25,19464
2022-11-21,7.25,7.5,6.25,7.0,7164
2022-11-28,6.75,7.25,6.0,6.5,14752
2022-12-05,6.5,6.75,5.5,5.5,18692
2022-12-12,5.75,6.25,5.0,6.25,36072
2022-12-19,7.0,7.0,5.5,5.5,24888
2022-12-26,6.0,6.25,5.25,5.5,40260
2023-01-02,5.25,9.0,5.25,8.75,58928
2023-01-09,9.75,10.0,7.5,8.0,42932
2023-01-16,8.25,9.25,7.5,8.5,28196
2023-01-23,8.25,9.25,7.5,7.75,24344
2023-01-30,8.0,14.25,7.75,10.5,244604
2023-02-06,10.5,10.5,8.5,8.75,14808
2023-02-13,8.75,10.75,8.25,10.75,43332
2023-02-20,11.25,13.75,10.0,12.5,38644
2023-02-27,12.5,12.5,9.25,10.5,34712
2023-03-06,12.25,15.0,9.75,12.0,1176144
2023-03-13,11.75,12.0,7.75,10.25,75788
2023-03-20,10.5,11.5,8.75,8.75,27772
2023-03-27,9.0,10.0,8.25,8.75,20420
2023-04-03,8.75,9.25,7.0,7.5,36196
2023-04-10,7.5,8.0,6.25,7.5,42020
2023-04-17,7.0,11.0,6.5,8.25,143036
2023-04-24,8.25,10.75,7.75,8.5,83584
2023-05-01,9.0,9.0,7.0,7.75,26480
2023-05-08,8.0,8.75,7.5,7.5,25364
2023-05-15,8.0,8.5,7.75,8.0,9464
